covariates_only,core1_ptau217,core2_ptau217_ab,core3,core4_hypothesis,core5_hypothesis,gfap_nfl_only,full_panel,full_panel_enet,broad_no_ptau,discovery_only,extras_only,oracle_core5,rep,n_train,prevalence,n_extra,n_informative,d_extra,rho_core_extra,rho_extra,condition
0.7757935457892314,0.9344167050161067,0.94501955821445,0.9435878777419849,0.9434391777880043,0.9490115431814695,0.8016897722043258,0.9070431622948305,0.9106255752416015,0.8416860331339162,0.7368983931584598,0.710915592882344,0.9285246949626924,0,1000,0.2,120,0,0.35,0.15,0.15,0
0.7739366108521555,0.9320769383205204,0.9449315921040832,0.9451243444770391,0.944437799508196,0.948599596913245,0.8104949827778019,0.9076430647391036,0.9120441782925979,0.8484530243861285,0.7482472873155255,0.715247155696566,0.9285246949626924,1,1000,0.2,120,0,0.35,0.15,0.15,0
0.7702697483675744,0.9365510033444816,0.9459358576206403,0.9458067566491479,0.9456906951743909,0.9505093366778149,0.8026743908265648,0.9185129996814779,0.9201257166746297,0.846468386685778,0.7358119326325848,0.7029383659818442,0.9285246949626924,2,1000,0.2,120,0,0.35,0.15,0.15,0
0.7728202089444347,0.932965963546597,0.9436927941462119,0.9437556397540268,0.943658273319384,0.9470323645045253,0.7977702102967463,0.9084204754727558,0.9112712466591757,0.8381013545244658,0.7447112077126018,0.7202526609804013,0.9285246949626924,3,1000,0.2,120,0,0.35,0.15,0.15,0
0.7676506235359974,0.9262855611243191,0.9402249904388211,0.9401070910116788,0.9400859891437665,0.9447970295539404,0.7962740489906,0.899821205228346,0.9039359726736619,0.8380641688443697,0.7347622008241538,0.7202842866876543,0.9285246949626924,4,1000,0.2,120,0,0.35,0.15,0.15,0
0.7745116326830814,0.9328098091529174,0.944040776202637,0.9440765016473237,0.9439303787219251,0.9487865989366897,0.8036736494293348,0.9040707387231316,0.9091662998951956,0.8433649113076791,0.7294553070294497,0.6943722370736605,0.9285246949626924,5,1000,0.2,120,0,0.35,0.15,0.15,0
0.7779335934983367,0.9352664085444325,0.9481120883230593,0.9483072317176076,0.9481826031480647,0.9521406650942581,0.8021419811090981,0.9215995944317251,0.9249860738131117,0.8457052150328964,0.7384076770413158,0.7160261930165575,0.9285246949626924,6,1000,0.2,120,0,0.35,0.15,0.15,0
0.7816487874682514,0.9361561403551908,0.9472155904315349,0.9472477508599473,0.9476891453636612,0.9510022595897333,0.8110766613147911,0.8947914366712482,0.9006234894064827,0.8258122352235371,0.7383531795304282,0.7111062154699529,0.9285246949626924,7,1000,0.2,120,0,0.35,0.15,0.15,0
0.7846409073079492,0.9375337816660181,0.9471402679805989,0.947102910726627,0.9475327147350212,0.9525748682887865,0.8095405928126794,0.9049604076673906,0.9103709506863711,0.8393651770347552,0.7448551384462766,0.7103478908945214,0.9285246949626924,8,1000,0.2,120,0,0.35,0.15,0.15,0
0.7791722018029077,0.9423173770395973,0.9535670147286992,0.9531511914243751,0.9531926958122949,0.9559290625707876,0.8150210810139347,0.9163690480539947,0.9193004659500827,0.8587651470312427,0.758840215413619,0.7288443317525618,0.9285246949626924,9,1000,0.2,120,0,0.35,0.15,0.15,0
0.7884758745628293,0.9359268606512664,0.9448348812126297,0.9448593557098555,0.9450019246306863,0.9488603390672968,0.8071073343004408,0.8991578086729062,0.9039722208487099,0.8342576103996318,0.7389012880848298,0.6964323644781922,0.9285246949626924,10,1000,0.2,120,0,0.35,0.15,0.15,0
0.7782148054298642,0.9393659366515837,0.9495844102564103,0.949751891402715,0.9497333574660634,0.9524759939668175,0.802763294117647,0.9107027209653092,0.9143546787330317,0.8309412488687783,0.7243900331825037,0.7057645852187029,0.9285246949626924,11,1000,0.2,120,0,0.35,0.15,0.15,0
0.7818247102819202,0.934403855990347,0.9436496199898293,0.9424466468840035,0.941707586016526,0.9461414575927052,0.811363352078389,0.909290792808146,0.9121727945238018,0.8343133343620555,0.7512360215462998,0.7141590773724461,0.9285246949626924,12,1000,0.2,120,0,0.35,0.15,0.15,0
0.7638569604086846,0.9304851193931654,0.942044970780603,0.9421376601261658,0.9421484964588412,0.9460450288323852,0.7913623785750222,0.9064858353651457,0.9094814040791053,0.8358492008204652,0.726310615735903,0.7028033205619413,0.9285246949626924,13,1000,0.2,120,0,0.35,0.15,0.15,0
0.7727285664976662,0.9351846543816305,0.9446903772383002,0.944570411923009,0.9448892169923002,0.9498952884198694,0.8063299793824021,0.9139155155541997,0.91618272972506,0.8310163758167564,0.750123773737999,0.7141621409910157,0.9285246949626924,14,1000,0.2,120,0,0.35,0.15,0.15,0
0.7808047747780819,0.9392249748271053,0.9489907948714001,0.9489029709739059,0.9487667945935214,0.9524060590200274,0.8037963803923379,0.910183289460856,0.9135341165251419,0.8325723244597646,0.7324975853362116,0.6957100295680366,0.9285246949626924,15,1000,0.2,120,0,0.35,0.15,0.15,0
0.7650224672571404,0.9352591653738465,0.9465801945102015,0.9465588513885198,0.9474552624991501,0.9516557047363574,0.7978081096908975,0.9074021422699656,0.9110643708549919,0.8456691425975487,0.7256028804136201,0.6911810607512161,0.9285246949626924,16,1000,0.2,120,0,0.35,0.15,0.15,0
0.766383050193147,0.9352216364725671,0.9464306287742624,0.9465251843105994,0.9466693739831896,0.9513545356325469,0.794232413096393,0.9199612954008207,0.9228277419726811,0.8391165123746926,0.7316287266337277,0.7092668937804416,0.9285246949626924,17,1000,0.2,120,0,0.35,0.15,0.15,0
0.7752488940732353,0.935524302323038,0.9475246726715462,0.9472455129951076,0.9476443268011967,0.9511302770792127,0.804129585622168,0.91380288290545,0.9176905434584698,0.851429222634686,0.751419244798666,0.7201665449650331,0.9285246949626924,18,1000,0.2,120,0,0.35,0.15,0.15,0
0.7773387490078516,0.93413412800758,0.9447387371543653,0.9440213300773692,0.9440314016670031,0.9473599651987842,0.8094994652373273,0.9009215117146145,0.9055649019046538,0.8364473590936189,0.7369872156664351,0.7121580356371578,0.9285246949626924,19,1000,0.2,120,0,0.35,0.15,0.15,0
